,Customer_ID,SSN,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
25,CUS_0x1063,883388680,19,Architect,128698.76,10628.9,7,5,10.0,4,"Personal Loan, Mortgage Loan, Payday Loan, and Debt Consolidation Loan",9,15,10.67,11,Standard,583.11,34.2025,16 Years and 4 Months,Yes,251.61,266.40125,High_spent_Large_value_payments,795.33125,Standard
26,CUS_0x1069,761275143,32,Accountant,58637.34,4799.44,4,6,10.0,3,"Personal Loan, Auto Loan, and Not Specified",8,17,11.685,5,Standard,208.8,31.08375,30 Years and 1 Months,Yes,139.89,139.7525,High_spent_Medium_value_payments,355.71500000000003,Standard
27,CUS_0x106f,517961022,54,Developer,134035.08,11102.59,0,5,10.0,2,"Home Equity Loan, and Mortgage Loan",3,7,9.695,6,Good,767.91,37.8,24 Years and 4 Months,No,143.48,543.76,Low_spent_Large_value_payments,656.91,Good
28,CUS_0x1075,225948383,38,Manager,24709.33,2028.8700000000001,5,5,6.0,3,"Student Loan, Debt Consolidation Loan, and Personal Loan",23,10,7.0,1,Good,413.18,31.86875,17 Years and 4 Months,No,119.71000000000001,122.23375,Low_spent_Small_value_payments,328.46875,Poor
29,CUS_0x107c,712177369,14,Journalist,49718.55,4179.21,7,10,27.0,6,"Payday Loan, Mortgage Loan, Home Equity Loan, Payday Loan, Auto Loan, and Auto Loan",27,16,6.125,7,Bad,1920.25,32.86,13 Years and 5 Months,Yes,231.96,185.88625,High_spent_Medium_value_payments,256.32875,Poor
30,CUS_0x107e,463696790,14,Architect,75095.91,6269.99,5,6,15.0,6,"Personal Loan, Payday Loan, Personal Loan, Student Loan, Home Equity Loan, and Payday Loan",8,9,15.155000000000001,8,Standard,989.71,32.115,11 Years and 5 Months,Yes,261.84,279.52750000000003,High_spent_Large_value_payments,317.4775,Standard
31,CUS_0x1087,620147570,51,Doctor,42153.13,3377.76,5,4,10.0,3,"Payday Loan, Not Specified, and Payday Loan",9,10,4.81,5,Good,1027.64,30.75125,27 Years and 10 Months,No,79.3,197.92,High_spent_Small_value_payments,365.81,Standard
32,CUS_0x108a,394008142,38,Journalist,36982.36,2650.07875,7,9,21.0,9,"Student Loan, Student Loan, Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, Student Loan, and Personal Loan",15,15,24.61,13,Bad,4882.12,31.83875,7 Years and 2 Months,Yes,390.9075,189.9975,High_spent_Medium_value_payments,159.26875,Good
33,CUS_0x1096,228654194,42,Lawyer,12931.56,1348.63,4,4,9.0,3,"Not Specified, Debt Consolidation Loan, and Home Equity Loan",19,19,18.51,3,Standard,752.86,28.4225,20 Years and 9 Months,Yes,20.58,85.0925,High_spent_Large_value_payments,309.19625,Poor
34,CUS_0x1098,466105742,22,Musician,20652.98,1468.08,7,5,21.0,2,"Auto Loan, and Payday Loan",22,13,14.205,8,Standard,1859.53,32.16625,18 Years and 4 Months,Yes,33.24,66.3625,Low_spent_Medium_value_payments,327.58625,Poor
35,CUS_0x109b,661043699,55,Manager,31641.93,2610.83,4,6,7.0,3,"Personal Loan, Student Loan, and Personal Loan",24,12,9.245,1,Standard,583.6,31.966250000000002,19 Years and 10 Months,No,60.34,121.89625000000001,High_spent_Small_value_payments,334.85,Standard
36,CUS_0x109d,260211290,44,Writer,49140.87,4377.07,10,6,27.0,6,"Not Specified, Not Specified, Mortgage Loan, Mortgage Loan, Payday Loan, and Payday Loan",35,18,16.41,11,Bad,2950.8,30.485,6 Years and 0 Months,Yes,154.17,177.0725,High_spent_Large_value_payments,356.66,Standard
37,CUS_0x109f,283320255,40,Teacher,130435.86,10623.66,4,6,9.0,2,"Home Equity Loan, and Home Equity Loan",16,0,11.1,0,Good,942.71,33.2375,29 Years and 4 Months,No,188.19,609.41625,Low_spent_Medium_value_payments,579.895,Poor
38,CUS_0x10a9,514084156,41,Journalist,17603.26,1402.1925,8,6,4.0,0,No Loan,9,9,7.52,4,Standard,836.66,31.177500000000002,15 Years and 2 Months,No,0.0,83.03,Low_spent_Small_value_payments,333.045,Standard
39,CUS_0x10aa,101004424,19,Musician,114432.03,9272.0,1,2,7.0,0,No Loan,9,9,11.605,4,Good,444.51,36.38375,21 Years and 0 Months,No,0.0,426.1925,High_spent_Medium_value_payments,814.5075,Good
40,CUS_0x10ac,780504730,28,Developer,16718.65,1270.22,7,3,15.0,4,"Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, and Debt Consolidation Loan",23,11,11.825,0,Standard,853.41,32.3675,15 Years and 8 Months,No,50.96,69.57124999999999,Low_spent_Large_value_payments,286.46125,Good
41,CUS_0x10b3,293453004,48,Mechanic,136150.6,11127.88,1,5,9.0,3,"Student Loan, Student Loan, and Auto Loan",8,0,10.97,3,Good,260.29,35.055,26 Years and 9 Months,No,177.65,515.6875,High_spent_Small_value_payments,825.3375,Good
42,CUS_0x10b6,439765364,48,Journalist,23627.63,1712.97,7,3,19.0,3,"Payday Loan, Credit-Builder Loan, and Debt Consolidation Loan",6,12,1.23,1,Standard,277.93,33.525,17 Years and 9 Months,No,38.0,75.83625,High_spent_Small_value_payments,310.69124999999997,Standard
43,CUS_0x10bb,75304340,35,Journalist,60830.92,5044.24,0,1,11.0,4,"Payday Loan, Home Equity Loan, Auto Loan, and Debt Consolidation Loan",14,3,8.285,0,Good,133.63,32.235,23 Years and 3 Months,No,159.8,188.54875,High_spent_Medium_value_payments,408.35125,Good
44,CUS_0x10c0,658531756,38,Architect,49454.13,4328.18,8,5,23.0,2,"Payday Loan, and Auto Loan",59,23,5.325,8,Bad,1388.56,32.0125,12 Years and 9 Months,Yes,73.35,209.60875,Low_spent_Small_value_payments,415.88125,Poor
45,CUS_0x10c5,41746785,24,Entrepreneur,158623.16,13180.6,2,7,10.0,1,Payday Loan,10,5,6.54,0,Good,1134.83,35.2175,29 Years and 7 Months,No,91.03,659.3375,High_spent_Small_value_payments,829.1125,Good
46,CUS_0x10d7,289569714,39,Developer,15968.14,1380.68,7,7,21.0,9,"Personal Loan, Auto Loan, Mortgage Loan, Auto Loan, Credit-Builder Loan, Auto Loan, Student Loan, Personal Loan, and Personal Loan",37,19,16.885,13,Bad,4912.8,30.11375,11 Years and 10 Months,Yes,78.0,84.605,Low_spent_Small_value_payments,243.735,Poor
47,CUS_0x10dd,907604113,24,Teacher,105645.6,9090.8,5,4,5.0,4,"Credit-Builder Loan, Student Loan, Payday Loan, and Personal Loan",23,18,2.41,2,Standard,1336.91,32.8,20 Years and 9 Months,No,315.41,377.21999999999997,Low_spent_Medium_value_payments,590.2475,Standard
48,CUS_0x10df,279203097,27,Musician,9929.24,828.44,4,8,23.0,3,"Not Specified, Auto Loan, and Student Loan",13,17,11.5,13,Standard,2328.08,30.315,6 Years and 7 Months,Yes,18.12,55.707499999999996,Low_spent_Small_value_payments,282.90875,Poor
49,CUS_0x10e2,168783262,37,Media_Manager,43133.85,3432.49,10,10,31.0,7,"Personal Loan, Auto Loan, Not Specified, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, and Credit-Builder Loan",43,22,6.91,10,Bad,2504.1,31.46625,10 Years and 2 Months,Yes,151.29,181.95625,High_spent_Large_value_payments,277.505,Poor
50,CUS_0x10e7,94896380,19,Engineer,64933.76,5368.15,3,3,33.0,4,"Mortgage Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",15,19,17.915,6,Standard,2699.17,29.505,13 Years and 10 Months,Yes,193.69,246.69750000000002,High_spent_Small_value_payments,367.1975,Poor
51,CUS_0x10eb,647015481,50,Journalist,28315.95,2415.66,4,7,10.0,2,"Student Loan, and Payday Loan",7,7,10.59,4,Good,677.4,34.339999999999996,19 Years and 10 Months,No,30.23,121.43,High_spent_Small_value_payments,354.90625,Good
52,CUS_0x10ee,699802426,29,Journalist,12660.16,909.01,5,7,15.0,0,No Loan,10,14,9.725,2,Standard,456.02,30.235,24 Years and 9 Months,No,0.0,64.38125,Low_spent_Small_value_payments,310.53625,Standard
53,CUS_0x10f9,746796875,53,Lawyer,150131.68,12410.11625,5,1,4.0,0,No Loan,7,0,10.365,0,Good,1138.36,39.94625,31 Years and 4 Months,No,0.0,419.20125,Low_spent_Small_value_payments,1092.995,Good
54,CUS_0x10fd,119337350,29,Developer,39576.59,3199.05,0,7,2.0,4,"Personal Loan, Mortgage Loan, Home Equity Loan, and Home Equity Loan",14,4,6.87,1,Good,226.37,30.8425,19 Years and 4 Months,No,124.31,134.45625,High_spent_Large_value_payments,321.13875,Poor
55,CUS_0x10ff,149035931,36,Accountant,16341.08,1292.76,4,4,6.0,2,"Auto Loan, and Student Loan",7,20,10.63,2,Standard,684.05,32.41625,16 Years and 8 Months,No,16.96,133.18,Low_spent_Small_value_payments,263.59375,Standard
56,CUS_0x1100,545196617,21,Accountant,43062.54,3607.55,6,10,23.0,2,"Mortgage Loan, and Student Loan",55,20,19.675,11,Standard,2169.75,30.94625,14 Years and 8 Months,Yes,47.5,88.26,High_spent_Medium_value_payments,476.24375,Poor
57,CUS_0x1107,118706277,30,Writer,28952.76,2338.73,7,9,21.0,8,"Personal Loan, Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, and Not Specified",38,14,2.46,13,Bad,2717.85,34.3025,0 Years and 8 Months,Yes,155.78,148.2775,Low_spent_Small_value_payments,201.065,Poor
58,CUS_0x1108,183665001,25,Accountant,117499.47,9780.62,4,5,8.0,0,No Loan,11,7,8.07,3,Good,337.9,35.9625,30 Years and 1 Months,No,0.0,410.14125,High_spent_Large_value_payments,829.17125,Standard
59,CUS_0x1109,410396091,42,Lawyer,76284.72,6451.06,6,10,18.0,6,"Home Equity Loan, Credit-Builder Loan, Auto Loan, Not Specified, Payday Loan, and Mortgage Loan",22,11,11.065,10,Standard,1957.32,31.728749999999998,19 Years and 7 Months,Yes,222.96,117.245,High_spent_Large_value_payments,492.27625,Poor
60,CUS_0x1119,596615235,35,Entrepreneur,56301.9,4593.82,9,5,26.0,2,"Not Specified, and Not Specified",16,18,15.48,10,Standard,2161.23,33.198750000000004,13 Years and 11 Months,Yes,50.12,208.7225,High_spent_Medium_value_payments,464.29,Poor
61,CUS_0x111b,880906663,40,Manager,70277.22,5633.44,3,6,7.0,3,"Not Specified, Not Specified, and Home Equity Loan",4,11,10.175,5,Good,762.48,34.24875,19 Years and 11 Months,No,149.93,199.09625,High_spent_Medium_value_payments,467.25124999999997,Good
62,CUS_0x111c,420668144,23,Journalist,71809.76,6168.15,7,7,17.0,8,"Debt Consolidation Loan, Not Specified, Home Equity Loan, Auto Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Personal Loan",52,15,2.58,7,Bad,4439.92,32.475,6 Years and 4 Months,Yes,297.92,226.06125,Low_spent_Large_value_payments,350.335,Poor
63,CUS_0x1123,917498240,15,Writer,15264.98,1266.08,6,5,34.0,3,"Home Equity Loan, Credit-Builder Loan, and Auto Loan",23,15,9.43,13,Bad,2375.88,30.30375,8 Years and 3 Months,Yes,36.79,75.345,Low_spent_Small_value_payments,286.97375,Poor
64,CUS_0x112d,774295843,22,Accountant,14728.21,1480.35,10,9,31.0,5,"Payday Loan, Personal Loan, Not Specified, Not Specified, and Personal Loan",49,10,9.27,6,Standard,2390.37,29.2625,16 Years and 4 Months,Yes,41.59,112.0,Low_spent_Small_value_payments,279.19625,Poor
65,CUS_0x112e,981037949,31,Mechanic,20162.26,1872.19,8,4,11.0,4,"Home Equity Loan, Home Equity Loan, Personal Loan, and Auto Loan",13,9,1.71,2,Standard,660.26,32.44625,19 Years and 3 Months,No,66.24,124.17500000000001,Low_spent_Small_value_payments,270.55125,Standard
66,CUS_0x112f,294206562,20,Mechanic,75506.42,6050.2,1,4,5.0,1,Auto Loan,1,2,3.44,5,Good,1069.19,30.88875,23 Years and 1 Months,No,60.9,419.22375,Low_spent_Medium_value_payments,374.33500000000004,Poor
67,CUS_0x1130,846603664,37,Journalist,137798.88,10980.45875,6,5,13.0,0,No Loan,23,13,9.625,2,Standard,1056.3,36.7075,26 Years and 11 Months,No,0.0,376.21500000000003,Low_spent_Small_value_payments,942.4087499999999,Good
68,CUS_0x1132,152957926,39,Mechanic,46268.4,3983.7,5,4,20.0,4,"Student Loan, Debt Consolidation Loan, Student Loan, and Home Equity Loan",27,17,9.33,7,Standard,1447.57,28.2575,13 Years and 5 Months,Yes,103.78,213.6825,Low_spent_Small_value_payments,346.78999999999996,Poor
69,CUS_0x1134,964857634,48,Doctor,15279.55,1523.72875,0,5,8.0,3,"Credit-Builder Loan, Mortgage Loan, and Debt Consolidation Loan",1,3,6.99,4,Good,168.35,31.2375,30 Years and 4 Months,No,70.6025,95.945,Low_spent_Small_value_payments,314.9125,Good
70,CUS_0x1135,897951425,22,Journalist,83358.3,6896.53,5,3,5.0,3,"Auto Loan, Not Specified, and Auto Loan",6,5,2.66,6,Good,727.88,32.03,30 Years and 3 Months,No,169.94,230.8075,High_spent_Large_value_payments,551.41,Good
71,CUS_0x1136,894069872,21,Entrepreneur,37360.94,2864.41,10,5,33.0,5,"Home Equity Loan, Auto Loan, Debt Consolidation Loan, Mortgage Loan, and Not Specified",44,12,9.89,11,Standard,1271.23,32.38375,11 Years and 3 Months,Yes,93.34,136.2775,Low_spent_Small_value_payments,290.69124999999997,Poor
72,CUS_0x1138,832926672,43,Lawyer,154868.24,13051.69,2,5,10.0,0,No Loan,14,3,4.285,4,Good,242.75,35.04875,29 Years and 4 Months,No,0.0,573.7,Low_spent_Small_value_payments,1008.89125,Poor
73,CUS_0x1139,952675462,32,Scientist,94991.82,8144.98,7,6,13.0,0,No Loan,17,18,21.45,6,Standard,1320.61,30.53125,25 Years and 11 Months,Yes,0.0,384.63,High_spent_Medium_value_payments,694.87,Standard
74,CUS_0x113e,542140249,44,Manager,34476.68,2715.06,6,7,24.0,8,"Personal Loan, Student Loan, Personal Loan, Mortgage Loan, Student Loan, Not Specified, Auto Loan, and Debt Consolidation Loan",36,17,5.105,11,Bad,1976.63,33.14375,10 Years and 11 Months,Yes,171.18,165.0875,Low_spent_Small_value_payments,208.495,Poor
75,CUS_0x1140,141172233,30,Accountant,7621.8,914.15,6,10,28.0,6,"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Mortgage Loan, Payday Loan, and Auto Loan",17,18,27.01,13,Bad,4128.98,31.80375,6 Years and 4 Months,Yes,24.91,60.4275,Low_spent_Small_value_payments,284.89125,Standard
76,CUS_0x1144,720700565,42,Doctor,135851.24,11418.94,4,4,18.0,2,"Home Equity Loan, and Auto Loan",28,18,11.065,10,Standard,695.12,36.99875,24 Years and 7 Months,Yes,206.56,404.46,High_spent_Small_value_payments,782.1225,Standard
77,CUS_0x1145,426319194,23,Teacher,17975.32,1444.94,6,5,32.0,9,"Student Loan, Payday Loan, Not Specified, Mortgage Loan, Home Equity Loan, Payday Loan, Payday Loan, Not Specified, and Credit-Builder Loan",61,23,8.9,11,Bad,1263.1,34.7325,11 Years and 10 Months,Yes,76.45,118.04375,High_spent_Small_value_payments,230.0,Poor
78,CUS_0x114a,133895234,42,Developer,15305.46,1230.45,0,7,2.0,2,"Student Loan, and Home Equity Loan",14,2,10.7,0,Good,642.42,34.33375,15 Years and 2 Months,No,20.3,106.645,Low_spent_Small_value_payments,298.7225,Standard
79,CUS_0x114b,978197269,36,Entrepreneur,107118.96,9104.58,5,7,5.0,3,"Payday Loan, Auto Loan, and Not Specified",23,8,6.115,1,Standard,1049.33,30.57375,30 Years and 3 Months,Yes,139.57,385.93125,High_spent_Medium_value_payments,647.46125,Standard
80,CUS_0x1151,587073210,40,Journalist,17692.27,1335.36,6,5,29.0,6,"Payday Loan, Auto Loan, Home Equity Loan, Auto Loan, Personal Loan, and Auto Loan",35,23,26.37,8,Bad,3762.64,29.6425,10 Years and 10 Months,Yes,78.45,95.02375,Low_spent_Medium_value_payments,242.4075,Poor
81,CUS_0x1152,330022598,28,Accountant,31316.47,2510.71,0,2,6.0,2,"Payday Loan, and Personal Loan",12,5,6.19,1,Good,800.89,36.14875,17 Years and 11 Months,No,30.82,144.325,Low_spent_Large_value_payments,348.15999999999997,Good
82,CUS_0x1154,848350776,40,Developer,7645.1,632.09,9,9,19.0,5,"Credit-Builder Loan, Credit-Builder Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",42,15,21.14,10,Bad,2869.83,30.65875,11 Years and 9 Months,Yes,17.49,41.1175,Low_spent_Small_value_payments,283.3525,Standard
83,CUS_0x1155,189760870,41,Developer,158483.48,12927.96,2,1,6.0,3,"Home Equity Loan, Payday Loan, and Personal Loan",1,3,3.9,5,Good,471.82,32.847500000000004,27 Years and 8 Months,No,347.54,622.31375,High_spent_Large_value_payments,668.2837499999999,Good
84,CUS_0x1156,877509125,24,Entrepreneur,10060.01,1103.33,3,9,17.0,6,"Student Loan, Student Loan, Home Equity Loan, Not Specified, Debt Consolidation Loan, and Payday Loan",17,11,9.04,13,Standard,1971.81,32.2825,10 Years and 3 Months,Yes,32.28,75.6825,High_spent_Medium_value_payments,278.7075,Poor
85,CUS_0x115c,956283067,19,Engineer,41695.76,3401.65,6,7,15.0,9,"Not Specified, Credit-Builder Loan, Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, Student Loan, Mortgage Loan, Debt Consolidation Loan, and Mortgage Loan",23,21,25.99,8,Bad,4453.51,34.35875,7 Years and 11 Months,Yes,302.81,103.03,Low_spent_Medium_value_payments,190.57875,Standard
86,CUS_0x1168,773330379,41,Writer,76440.52,6647.04,0,4,9.0,2,"Mortgage Loan, and Student Loan",8,2,10.975,4,Good,998.47,33.6275,20 Years and 2 Months,No,96.75,537.45,Low_spent_Small_value_payments,305.5075,Good
87,CUS_0x1169,352870792,33,Lawyer,115324.62,9772.39,2,5,8.0,4,"Credit-Builder Loan, Payday Loan, Student Loan, and Student Loan",7,5,5.5,2,Good,1316.45,38.027499999999996,23 Years and 4 Months,No,199.25,419.71,High_spent_Medium_value_payments,619.5275,Good
88,CUS_0x117d,812628349,23,Media_Manager,70779.18,5861.26,0,3,9.0,4,"Student Loan, Student Loan, Not Specified, and Debt Consolidation Loan",13,1,3.61,4,Good,1340.31,31.35875,20 Years and 10 Months,No,131.35,310.34000000000003,High_spent_Large_value_payments,405.69,Good
89,CUS_0x117f,82693410,51,Scientist,93847.86,7599.65,3,4,12.0,3,"Mortgage Loan, Credit-Builder Loan, and Home Equity Loan",13,7,11.395,1,Standard,1405.22,33.4475,15 Years and 11 Months,No,196.73,317.67625,Low_spent_Medium_value_payments,475.51875,Standard
90,CUS_0x1182,117624809,23,Musician,176696.88,14431.7475,5,7,12.0,4,"Debt Consolidation Loan, Home Equity Loan, Payday Loan, and Not Specified",4,7,4.385,4,Good,433.68,35.6075,16 Years and 7 Months,No,301.84,538.84625,High_spent_Large_value_payments,1040.80625,Good
91,CUS_0x1183,972423182,22,Mechanic,134393.73,10944.48,1,3,12.0,2,"Credit-Builder Loan, and Mortgage Loan",13,2,11.49,1,Good,945.29,36.20125,25 Years and 1 Months,No,136.03,397.33625,High_spent_Small_value_payments,814.83125,Good
92,CUS_0x1184,963762464,49,Lawyer,19867.47,1396.62,3,5,11.0,3,"Student Loan, Mortgage Loan, and Payday Loan",9,9,5.99,4,Good,707.29,30.564999999999998,32 Years and 1 Months,No,42.61,60.52875,Low_spent_Medium_value_payments,309.0275,Good
93,CUS_0x1185,238502115,24,Accountant,18963.65,1794.3,4,8,29.0,6,"Student Loan, Payday Loan, Not Specified, Credit-Builder Loan, Personal Loan, and Debt Consolidation Loan",23,9,13.79,9,Standard,2422.18,34.56125,6 Years and 5 Months,Yes,64.13,99.41125,Low_spent_Small_value_payments,291.12624999999997,Poor
94,CUS_0x1190,371361750,44,Media_Manager,44134.06,3422.16,4,4,9.0,3,"Personal Loan, Auto Loan, and Student Loan",29,19,4.775,2,Good,809.59,29.74125,22 Years and 11 Months,No,311.59,143.87625,High_spent_Small_value_payments,420.2425,Good
